,names,location,salaries (k),jobs (k),views (k),evaluation
0,Capgemini,Rabat,29.2,6.9,77,3.7
1,Deloitte,Rabat,198.9,33.1,112.9,4.0
2,Amazon,Rabat,485.9,14.5,194.1,3.7
3,Dell Technologies,Rabat,29.6,333,35.9,4.1
4,IBM,Rabat,84.2,5.1,112.1,4.1
5,PwC,Rabat,59.4,22,81.1,3.9
6,McDonald's,Rabat,84,82.2,136.3,3.6
7,Capgemini Engineering,Rabat,4.4,3.6,13.1,3.9
8,EY,Rabat,76.2,10,80.7,3.8
9,CGI,Rabat,25,2.1,18.5,3.8
10,Capgemini,Rabat,29.2,6.9,77,3.7
11,Deloitte,Rabat,198.9,33.1,112.9,4.0
12,Amazon,Rabat,485.9,14.5,194.1,3.7
13,Dell Technologies,Rabat,29.6,333,35.9,4.1
14,IBM,Rabat,84.2,5.1,112.1,4.1
15,PwC,Rabat,59.4,22,81.1,3.9
16,McDonald's,Rabat,84,82.2,136.3,3.6
17,Capgemini Engineering,Rabat,4.4,3.6,13.1,3.9
18,EY,Rabat,76.2,10,80.7,3.8
19,CGI,Rabat,25,2.1,18.5,3.8
20,Capgemini,Rabat,29.2,6.9,77,3.7
21,Deloitte,Rabat,198.9,33.1,112.9,4.0
22,Amazon,Rabat,485.9,14.5,194.1,3.7
23,Dell Technologies,Rabat,29.6,333,35.9,4.1
24,IBM,Rabat,84.2,5.1,112.1,4.1
25,PwC,Rabat,59.4,22,81.1,3.9
26,McDonald's,Rabat,84,82.2,136.3,3.6
27,Capgemini Engineering,Rabat,4.4,3.6,13.1,3.9
28,EY,Rabat,76.2,10,80.7,3.8
29,CGI,Rabat,25,2.1,18.5,3.8
30,Capgemini,Rabat,29.2,6.9,77,3.7
31,Deloitte,Rabat,198.9,33.1,112.9,4.0
32,Amazon,Rabat,485.9,14.5,194.1,3.7
33,Dell Technologies,Rabat,29.6,333,35.9,4.1
34,IBM,Rabat,84.2,5.1,112.1,4.1
35,PwC,Rabat,59.4,22,81.1,3.9
36,McDonald's,Rabat,84,82.2,136.3,3.6
37,Capgemini Engineering,Rabat,4.4,3.6,13.1,3.9
38,EY,Rabat,76.2,10,80.7,3.8
39,CGI,Rabat,25,2.1,18.5,3.8
40,Capgemini,Rabat,29.2,6.9,77,3.7
41,Deloitte,Rabat,198.9,33.1,112.9,4.0
42,Amazon,Rabat,485.9,14.5,194.1,3.7
43,Dell Technologies,Rabat,29.6,333,35.9,4.1
44,IBM,Rabat,84.2,5.1,112.1,4.1
45,PwC,Rabat,59.4,22,81.1,3.9
46,McDonald's,Rabat,84,82.2,136.3,3.6
47,Capgemini Engineering,Rabat,4.4,3.6,13.1,3.9
48,EY,Rabat,76.2,10,80.7,3.8
49,CGI,Rabat,25,2.1,18.5,3.8
50,Capgemini,Rabat,29.2,6.9,77,3.7
51,Deloitte,Rabat,198.9,33.1,112.9,4.0
52,Amazon,Rabat,485.9,14.5,194.1,3.7
53,Dell Technologies,Rabat,29.6,333,35.9,4.1
54,IBM,Rabat,84.2,5.1,112.1,4.1
55,PwC,Rabat,59.4,22,81.1,3.9
56,McDonald's,Rabat,84,82.2,136.3,3.6
57,Capgemini Engineering,Rabat,4.4,3.6,13.1,3.9
58,EY,Rabat,76.2,10,80.7,3.8
59,CGI,Rabat,25,2.1,18.5,3.8
60,Capgemini,Rabat,29.2,6.9,77,3.7
61,Deloitte,Rabat,198.9,33.1,112.9,4.0
62,Amazon,Rabat,485.9,14.5,194.1,3.7
63,Dell Technologies,Rabat,29.6,333,35.9,4.1
64,IBM,Rabat,84.2,5.1,112.1,4.1
65,PwC,Rabat,59.4,22,81.1,3.9
66,McDonald's,Rabat,84,82.2,136.3,3.6
67,Capgemini Engineering,Rabat,4.4,3.6,13.1,3.9
68,EY,Rabat,76.2,10,80.7,3.8
69,CGI,Rabat,25,2.1,18.5,3.8
70,Capgemini,Rabat,29.2,6.9,77,3.7
71,Deloitte,Rabat,198.9,33.1,112.9,4.0
72,Amazon,Rabat,485.9,14.5,194.1,3.7
73,Dell Technologies,Rabat,29.6,333,35.9,4.1
74,IBM,Rabat,84.2,5.1,112.1,4.1
75,PwC,Rabat,59.4,22,81.1,3.9
76,McDonald's,Rabat,84,82.2,136.3,3.6
77,Capgemini Engineering,Rabat,4.4,3.6,13.1,3.9
78,EY,Rabat,76.2,10,80.7,3.8
79,CGI,Rabat,25,2.1,18.5,3.8
80,Capgemini,Rabat,29.2,6.9,77,3.7
81,Deloitte,Rabat,198.9,33.1,112.9,4.0
82,Amazon,Rabat,485.9,14.5,194.1,3.7
83,Dell Technologies,Rabat,29.6,333,35.9,4.1
84,IBM,Rabat,84.2,5.1,112.1,4.1
85,PwC,Rabat,59.4,22,81.1,3.9
86,McDonald's,Rabat,84,82.2,136.3,3.6
87,Capgemini Engineering,Rabat,4.4,3.6,13.1,3.9
88,EY,Rabat,76.2,10,80.7,3.8
89,CGI,Rabat,25,2.1,18.5,3.8
90,Capgemini,Rabat,29.2,6.9,77,3.7
91,Deloitte,Rabat,198.9,33.1,112.9,4.0
92,Amazon,Rabat,485.9,14.5,194.1,3.7
93,Dell Technologies,Rabat,29.6,333,35.9,4.1
94,IBM,Rabat,84.2,5.1,112.1,4.1
95,PwC,Rabat,59.4,22,81.1,3.9
96,McDonald's,Rabat,84,82.2,136.3,3.6
97,Capgemini Engineering,Rabat,4.4,3.6,13.1,3.9
98,EY,Rabat,76.2,10,80.7,3.8
99,CGI,Rabat,25,2.1,18.5,3.8
